id,Response
381110,0.0028530415
381111,0.7033498883
381112,0.6720520854
381113,0.0224042144
381114,0.0020596529
381115,0.0022396767
381116,0.0023531893
381117,0.0027963333
381118,0.7265429497
381119,0.0036443712
381120,0.0039888592
381121,0.4661663771
381122,0.001949674
381123,0.7346473932
381124,0.5116298795
381125,0.0025146622
381126,0.4605440795
381127,0.6344782114
381128,0.0023173806
381129,0.0016970404
381130,0.0016654639
381131,0.0020216454
381132,0.2308680713
381133,0.6300123334
381134,0.5519701838
381135,0.0018568522
381136,0.0015345046
381137,0.0028533156
381138,0.0037150385
381139,0.0028527675
381140,0.3876059949
381141,0.0018028669
381142,0.0014386853
381143,0.0025169381
381144,0.4384352565
381145,0.6544318199
381146,0.0014065847
381147,0.1507819742
381148,0.0021722782
381149,0.0028566658
381150,0.6958672404
381151,0.6905426383
381152,0.0018705105
381153,0.6745972037
381154,0.7213433981
381155,0.7422836423
381156,0.001507562
381157,0.090305455
381158,0.6806296706
381159,0.4963189363
381160,0.7029391527
381161,0.0233843476
381162,0.0017342848
381163,0.679769814
381164,0.002244212
381165,0.4684122801
381166,0.5530944467
381167,0.0027628685
381168,0.0027903321
381169,0.1129611135
381170,0.0021246385
381171,0.0022852502
381172,0.7149909735
381173,0.341976583
381174,0.0012037932
381175,0.002576326
381176,0.0025508944
381177,0.6985173225
381178,0.5669171214
381179,0.0015463178
381180,0.0813687518
381181,0.0014594446
381182,0.3773414493
381183,0.0020870494
381184,0.026817169
381185,0.001857363
381186,0.7669321299
381187,0.8508660197
381188,0.6033325791
381189,0.2342096716
381190,0.0026630813
381191,0.5395413637
381192,0.348498702
381193,0.0155222919
381194,0.6059705615
381195,0.225383237
381196,0.001562984
381197,0.1397058666
381198,0.4476948977
381199,0.7194634676
381200,0.0027150372
381201,0.0036494874
381202,0.671613276
381203,0.777426362
381204,0.3667395711
381205,0.001922115
381206,0.2306954712
381207,0.0019810749
381208,0.1029140949
381209,0.0015310906
381210,0.5328774452
381211,0.0016004529
381212,0.7457882166
381213,0.6188436747
381214,0.519256413
